Month, Issues, Commits
2012-06, 0, 87
2012-07, 3, 192
2012-08, 6, 196
2012-09, 1, 15
2012-11, 0, 2
2012-12, 1, 5
2013-01, 1, 2
2013-02, 0, 1
2013-03, 0, 4
2013-04, 0, 5
2013-05, 1, 2
2013-06, 0, 3
2013-07, 0, 3
2013-09, 0, 2
2013-11, 1, 0
2014-01, 0, 11
2014-02, 2, 73
2014-03, 0, 14
2014-04, 1, 19
2014-05, 1, 3
2014-06, 3, 100
2014-07, 3, 12
2014-08, 0, 33
2014-09, 2, 7
2014-10, 1, 47
2014-11, 3, 30
2014-12, 6, 41
2015-01, 8, 125
2015-02, 13, 321
2015-03, 13, 112
2015-04, 8, 116
2015-05, 8, 41
2015-06, 13, 86
2015-07, 11, 64
2015-08, 10, 73
2015-09, 20, 108
2015-10, 42, 176
2015-11, 33, 179
2015-12, 89, 275
2016-01, 71, 235
2016-02, 29, 109
2016-03, 29, 76
2016-04, 45, 138
2016-05, 83, 246
2016-06, 93, 388
2016-07, 127, 440
2016-08, 92, 294
2016-09, 55, 142
2016-10, 75, 287
2016-11, 18, 219
2016-12, 75, 331
2017-01, 74, 256
2017-02, 54, 257
2017-03, 36, 111
2017-04, 32, 153
2017-05, 59, 261
2017-06, 47, 188
2017-07, 30, 105
2017-08, 53, 142
2017-09, 102, 272
2017-10, 58, 179
2017-11, 51, 185
2017-12, 32, 162
2018-01, 24, 179
2018-02, 56, 202
2018-03, 82, 306
2018-04, 95, 410
2018-05, 102, 593
2018-06, 0, 5
